1,"Bitcoin","$535,231,581,471","$27,627.00","19,387,281","$15,996,334,297","1.30 %",2023-05-29 16:33:04.067232
2,"Ethereum","$226,979,042,435","$1,888.08","120,254,303","$8,537,107,491","2.41 %",2023-05-29 16:33:04.067232
3,"Tether","$83,039,309,085","$1.00","83,127,088,775","$23,867,486,845","-0.09 %",2023-05-29 16:33:04.067232
4,"BNB","$49,453,683,187","$313.31","157,886,280","$745,936,435","1.66 %",2023-05-29 16:33:04.067232
5,"USD Coin","$29,008,158,784","$1.00","29,046,299,188","$4,262,761,756","-0.08 %",2023-05-29 16:33:04.067232
6,"XRP","$24,917,597,896","$0.48","51,983,386,003","$928,141,536","1.34 %",2023-05-29 16:33:04.067232
7,"Cardano","$13,235,739,912","$0.38","35,045,020,830","$224,620,324","0.43 %",2023-05-29 16:33:04.067232
9,"Dogecoin","$10,174,424,946","$0.07","139,547,336,384","$243,685,356","0.40 %",2023-05-29 16:33:04.067232
10,"Polygon","$8,544,134,445","$0.92","9,279,469,069","$258,271,046","-0.26 %",2023-05-29 16:33:04.067232
11,"Solana","$8,115,888,147","$20.48","396,462,704","$313,500,283","0.00 %",2023-05-29 16:33:04.067232
12,"TRON","$6,926,425,326","$0.08","90,257,555,213","$310,420,812","-0.18 %",2023-05-29 16:33:04.067232
13,"Polkadot","$6,719,945,919","$5.44","1,237,282,227","$111,840,983","1.04 %",2023-05-29 16:33:04.067232
14,"Litecoin","$6,626,609,221","$90.89","73,028,058","$489,994,592","1.69 %",2023-05-29 16:33:04.067232
15,"Binance USD","$5,267,411,659","$1.00","5,276,149,035","$1,576,216,221","-0.08 %",2023-05-29 16:33:04.067232
16,"Shiba Inu","$5,171,128,713","$0.00","589,344,415,611,590","$94,222,901","0.18 %",2023-05-29 16:33:04.067232
17,"Avalanche","$4,978,713,557","$14.46","343,959,333","$165,590,078","-0.39 %",2023-05-29 16:33:04.067232
18,"Dai","$4,621,173,235","$1.00","4,623,774,843","$106,651,801","-0.09 %",2023-05-29 16:33:04.067232
19,"Wrapped Bitcoin","$4,327,104,204","$27,676.00","156,349","$163,919,344","1.49 %",2023-05-29 16:33:04.067232
20,"Uniswap","$3,847,494,307","$5.11","753,766,667","$43,979,258","1.23 %",2023-05-29 16:33:04.067232
21,"Chainlink","$3,390,223,367","$6.55","517,099,971","$134,433,632","0.61 %",2023-05-29 16:33:04.067232
22,"LEO Token","$3,320,894,621","$3.57","930,249,558","$181,679","1.26 %",2023-05-29 16:33:04.067232
23,"Cosmos Hub","$3,148,189,472","$10.77","292,586,164","$77,580,163","1.42 %",2023-05-29 16:33:04.067232
24,"OKB","$2,813,037,199","$46.96","60,000,000","$7,198,145","-0.07 %",2023-05-29 16:33:04.067232
26,"Monero","$2,782,982,398","$153.41","18,147,820","$86,667,545","-0.70 %",2023-05-29 16:33:04.067232
27,"Ethereum Classic","$2,579,715,666","$18.30","141,187,933","$64,853,632","0.25 %",2023-05-29 16:33:04.067232
28,"Stellar","$2,387,051,662","$0.09","26,803,752,568","$41,122,189","1.25 %",2023-05-29 16:33:04.067232
29,"Bitcoin Cash","$2,250,094,961","$115.95","19,405,006","$57,795,958","1.52 %",2023-05-29 16:33:04.067232
30,"Internet Computer","$2,141,923,579","$4.91","436,372,126","$30,394,224","0.04 %",2023-05-29 16:33:04.067232
31,"TrueUSD","$2,039,652,864","$1.00","2,041,446,767","$210,635,077","-0.12 %",2023-05-29 16:33:04.067232
32,"Filecoin","$1,963,582,244","$4.61","426,967,871","$106,803,021","1.76 %",2023-05-29 16:33:04.067232
34,"Hedera","$1,651,430,183","$0.05","31,459,374,375","$22,366,353","-0.88 %",2023-05-29 16:33:04.067232
37,"Quant","$1,570,211,403","$108.01","14,544,176","$24,414,904","4.71 %",2023-05-29 16:33:04.067232
38,"Cronos","$1,530,268,111","$0.06","25,263,013,692","$6,260,139","-0.05 %",2023-05-29 16:33:04.067232
39,"NEAR Protocol","$1,480,352,029","$1.63","910,335,696","$52,264,014","-1.13 %",2023-05-29 16:33:04.067232
40,"VeChain","$1,469,331,964","$0.02","72,714,516,834","$50,015,505","0.24 %",2023-05-29 16:33:04.067232
43,"The Graph","$1,138,480,474","$0.13","8,993,519,372","$67,637,139","5.42 %",2023-05-29 16:33:04.067232
44,"Algorand","$1,098,731,873","$0.15","7,241,921,339","$44,291,425","-0.13 %",2023-05-29 16:33:04.067232
45,"Pax Dollar","$1,018,373,571","$1.00","1,019,052,716","$27,688,560","-0.08 %",2023-05-29 16:33:04.067232
49,"EOS","$989,930,861","$0.90","1,107,195,051","$91,517,325","-0.62 %",2023-05-29 16:33:04.067232
50,"Aave","$964,423,819","$67.11","14,399,762","$44,646,527","0.58 %",2023-05-29 16:33:04.067232
52,"MultiversX","$941,089,417","$36.92","25,485,778","$15,319,762","0.79 %",2023-05-29 16:33:04.067232
53,"Fantom","$933,171,462","$0.33","2,791,599,636","$138,849,613","-1.35 %",2023-05-29 16:33:04.067232
55,"Stacks","$880,618,421","$0.64","1,382,149,513","$39,829,470","3.34 %",2023-05-29 16:33:04.067232
56,"Decentraland","$869,956,455","$0.48","1,824,348,735","$61,838,878","-1.23 %",2023-05-29 16:33:04.067232
57,"Tezos","$865,927,977","$0.94","931,393,914","$22,132,382","2.60 %",2023-05-29 16:33:04.067232
58,"Theta Network","$858,286,565","$0.86","1,000,000,000","$11,318,597","-0.14 %",2023-05-29 16:33:04.067232
59,"Axie Infinity","$821,198,260","$7.12","115,661,359","$72,631,700","0.77 %",2023-05-29 16:33:04.067232
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2023-05-29 16:33:04.067232
61,"Flow","$781,436,007","$0.75","1,036,200,000","$10,584,080","-1.12 %",2023-05-29 16:33:04.067232
62,"NEO","$770,466,837","$10.86","70,530,000","$61,497,025","1.32 %",2023-05-29 16:33:04.067232
63,"Synthetix Network","$762,479,975","$2.39","318,226,558","$27,454,678","-1.09 %",2023-05-29 16:33:04.067232
69,"KuCoin","$723,566,206","$7.48","96,833,502","$1,058,776","0.37 %",2023-05-29 16:33:04.067232
70,"Curve DAO","$696,102,436","$0.85","818,855,774","$42,635,846","-0.45 %",2023-05-29 16:33:04.067232
72,"Gate","$675,256,814","$4.86","139,018,905","$462,108","1.94 %",2023-05-29 16:33:04.067232
73,"Bitcoin SV","$670,641,987","$34.92","19,266,077","$25,942,774","6.72 %",2023-05-29 16:33:04.067232
76,"Kava","$608,990,716","$1.12","542,569,244","$19,023,014","-0.50 %",2023-05-29 16:33:04.067232
79,"Klaytn","$587,113,655","$0.19","3,096,985,747","$16,242,262","0.72 %",2023-05-29 16:33:04.067232
81,"Maker","$573,498,957","$637.10","901,311","$12,338,981","0.03 %",2023-05-29 16:33:04.067232
83,"IOTA","$569,179,036","$0.21","2,779,530,283","$14,290,201","0.86 %",2023-05-29 16:33:04.067232
86,"Chiliz","$539,772,160","$0.10","5,344,064,580","$50,114,391","-0.63 %",2023-05-29 16:33:04.067232
89,"Huobi","$519,561,448","$3.19","162,336,522","$12,322,478","-3.06 %",2023-05-29 16:33:04.067232
90,"Mina Protocol","$516,772,598","$0.57","908,442,801","$12,016,607","-0.96 %",2023-05-29 16:33:04.067232
91,"Terra Luna Classic","$515,744,401","$0.00","5,864,673,134,624","$20,910,366","0.33 %",2023-05-29 16:33:04.067232
92,"PAX Gold","$515,335,866","$1,959.38","263,075","$11,163,776","-0.36 %",2023-05-29 16:33:04.067232
